part_no,bjp_votes,inc_votes,aap_votes,others_votes,nota_votes,total_votes
1,243,136,348,8,6,735
2,210,142,337,17,2,706
3,297,102,325,11,7,735
4,183,83,348,7,1,621
5,223,96,387,6,0,712
6,150,142,397,22,2,711
7,74,64,252,3,2,393
8,148,58,253,10,2,469
9,165,223,465,24,6,877
10,148,183,381,7,7,719
11,124,64,116,5,3,309
12,209,70,235,5,3,519
13,387,116,393,3,10,899
14,109,132,165,10,2,416
15,71,75,177,4,2,327
16,132,171,282,10,2,595
17,83,205,183,5,2,476
18,113,184,182,3,1,482
19,124,75,127,5,2,331
20,237,190,322,9,5,758
21,150,130,220,2,2,502
22,281,113,309,4,7,707
23,210,98,212,4,4,524
24,209,100,289,3,6,601
25,196,98,287,2,8,583
26,144,86,168,6,1,404
27,193,95,214,2,4,504
28,233,105,245,3,2,586
29,221,70,215,0,6,506
30,245,106,282,5,9,638
31,172,60,217,2,8,451
32,220,116,243,3,5,582
33,226,117,257,5,3,605
34,374,148,324,10,6,856
35,182,74,172,2,5,430
36,287,145,227,2,7,661
37,255,156,340,7,8,758
38,230,82,241,4,5,557
39,166,140,206,1,5,513
40,380,164,358,3,9,905
41,263,152,296,6,7,717
42,227,149,210,5,3,591
43,708,68,137,12,2,925
44,310,111,216,10,4,647
45,170,57,106,6,6,339
46,232,135,338,5,6,710
47,268,155,295,12,7,730
48,122,166,171,131,4,590
49,166,143,244,70,5,623
50,194,100,293,6,4,593
51,80,133,124,9,3,346
52,159,138,310,7,2,614
53,259,83,353,3,2,698
54,237,115,303,6,6,661
55,110,80,269,5,2,464
56,292,97,240,2,7,631
57,241,88,174,4,1,507
58,195,93,268,6,6,562
59,291,139,507,28,2,965
60,206,102,484,20,6,812
61,201,126,482,29,8,838
62,84,30,181,20,0,315
63,138,324,513,35,8,1010
64,121,81,286,5,5,493
65,143,77,224,4,4,448
66,112,61,191,7,3,371
67,136,104,251,5,5,496
68,196,95,539,26,2,856
69,165,127,441,73,4,806
70,103,59,456,9,5,627
71,105,88,317,33,2,543
72,136,67,446,40,6,689
73,189,79,439,53,4,760
74,145,116,261,37,1,559
75,246,138,366,16,3,766
76,123,63,370,13,0,569
77,281,68,529,12,1,890
78,190,80,513,15,3,798
79,203,143,402,7,3,755
80,150,66,446,25,2,687
81,159,52,316,11,7,538
82,92,39,261,7,1,399
83,257,160,403,10,5,830
84,189,132,314,3,5,638
85,106,312,423,15,3,856
86,184,131,322,3,4,640
87,90,73,138,3,1,304
88,154,251,259,2,3,666
89,201,155,368,5,4,729
90,102,160,273,9,0,544
91,238,158,404,11,4,811
92,191,156,432,15,4,794
93,147,65,164,7,3,383
94,149,114,266,7,4,536
95,156,94,234,12,5,496
96,133,247,207,148,6,735
97,116,235,217,137,5,705
98,188,197,271,5,8,661
99,132,97,266,5,3,500
100,79,66,170,4,2,319
101,171,113,314,8,2,606
102,203,150,283,5,1,641
103,201,82,273,6,5,562
104,164,70,154,5,8,393
105,242,117,317,1,1,677
106,306,229,285,9,10,829
107,254,171,322,2,10,749
108,114,119,233,0,4,466
109,172,123,286,4,6,585
110,155,170,374,5,11,704
111,197,163,362,3,3,725
112,159,124,289,7,2,579
113,169,113,280,3,4,565
114,267,132,358,9,8,766
115,136,90,212,2,4,440
116,217,111,238,5,7,571
117,133,138,246,1,8,518
118,238,147,320,3,8,708
119,236,137,295,3,5,671
120,125,83,169,1,3,378
121,185,51,171,2,1,409
122,172,81,165,2,3,420
123,299,110,284,5,3,698
124,235,91,237,4,7,567
125,274,103,232,2,2,611
126,334,160,322,4,4,820
127,239,116,251,4,4,610
128,226,164,148,7,2,545
129,328,281,185,13,5,807
130,174,250,130,7,2,561
131,176,146,166,1,2,489
132,155,180,289,11,4,635
133,219,148,299,7,7,673
134,136,196,234,6,3,572
135,194,174,281,10,4,659
136,239,174,245,8,2,666
137,102,67,111,4,1,284
138,258,131,167,9,5,565
139,149,192,178,6,1,525
140,211,216,226,7,2,660
141,242,170,167,6,4,585
142,186,241,157,6,0,590
143,144,109,234,9,4,496
144,190,164,243,3,5,600
145,128,107,174,3,4,412
146,95,169,180,8,2,452
147,163,107,269,2,5,541
148,141,86,211,2,2,440
149,194,112,286,4,2,596
150,171,150,234,4,2,559
151,237,163,294,3,6,697
152,260,135,240,4,4,639
153,80,50,126,1,2,257
154,203,132,285,4,4,624
155,127,63,179,2,3,371
156,208,166,314,9,5,697
