part_no,locality,aap_votes,bjp_votes,inc_votes,others_votes,total_votes
1,CR Park,700,650,110,15,1475
2,CR Park,780,600,90,12,1482
3,CR Park,640,740,95,13,1488
4,GK-1,480,860,105,10,1455
5,GK-1,430,910,100,8,1448
6,GK-1,560,840,90,11,1501
7,GK-2,540,790,95,9,1434
8,GK-2,560,750,88,8,1406
9,East of Kailash,690,650,85,12,1437
10,East of Kailash,720,640,82,15,1457
11,Kalkaji,830,510,75,18,1433
12,Kalkaji,800,540,78,16,1434
13,Kalkaji,760,580,82,15,1437
14,Panchsheel Park,470,850,100,8,1428
15,Panchsheel Park,500,830,102,10,1442
16,Shahpur Jat,750,580,70,20,1420
17,Shahpur Jat,720,610,74,17,1421
18,Kailash Colony,560,800,95,12,1467
19,Kailash Colony,590,770,92,11,1463
20,CR Park,750,630,95,14,1489
