part_no,electors
1,1275
2,735
3,646
4,902
5,871
6,849
7,763
8,725
9,1313
10,1179
11,710
12,1225
13,1053
14,653
15,651
16,716
17,844
18,859
19,1138
20,1237
21,648
22,1195
23,824
24,1286
25,1179
26,1050
27,846
28,1080
29,1224
30,905
31,627
32,784
33,1053
34,969
35,905
36,780
37,841
38,965
39,725
40,715
41,1010
42,720
43,988
44,973
45,1239
46,891
47,665
48,1091
49,1170
50,748
51,1008
52,701
53,1186
54,921
55,1264
56,1254
57,991
58,1212
59,817
60,692
61,667
62,1298
63,854
64,917
65,702
66,859
67,724
68,1010
69,905
70,1085
71,1271
72,994
73,787
74,1000
75,984
76,835
77,1307
78,894
79,1320
80,1284
81,694
82,1244
83,1271
84,796
85,1167
86,871
87,788
88,1094
89,1009
90,897
91,1276
92,1191
93,845
94,953
95,678
96,855
97,653
98,944
99,1031
100,895
101,688
102,837
103,1201
104,943
105,838
106,1292
107,1132
108,1026
109,1279
110,1090
111,767
112,892
113,763
114,873
115,1195
116,1172
117,890
118,1219
119,1059
120,1218
121,1029
122,991
123,845
124,762
125,1142
126,1126
127,714
128,669
129,733
130,777
131,1263
132,784
133,1317
134,1053
135,1231
136,686
137,1015
138,1011
139,1231
140,1100
141,1162
142,878
143,1187
144,632
145,1317
146,738
147,1319
148,1170
149,894
150,1277
151,969
152,735
153,921
154,1066
155,782
156,1085
